39, Male, White, Bachelors, Never-married, United-States, State-gov, Adm-clerical, <=50K
32, Male, White, HS-grad, Never-married, United-States, Private, Machine-op-inspct, <=50K
26, Female, White, Some-college, Never-married, United-States, Private, Farming-fishing, <=50K
37, Male, White, 5th-6th, Separated, Guatemala, Private, Farming-fishing, <=50K
31, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
37, Female, White, Assoc-voc, Married-civ-spouse, United-States, Private, Tech-support, >50K
55, Male, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
23, Male, White, Assoc-voc, Divorced, United-States, Local-gov, Tech-support, <=50K
36, Female, White, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
43, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, >50K
54, Male, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
28, Female, White, Assoc-voc, Never-married, United-States, Private, Machine-op-inspct, <=50K
40, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
41, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
40, Female, Other, Bachelors, Never-married, United-States, Private, Sales, >50K
42, Female, Black, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
18, Male, White, 12th, Never-married, United-States, Private, Machine-op-inspct, <=50K
48, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Tech-support, >50K
41, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-inc, Tech-support, <=50K
23, Female, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
60, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, >50K
22, Male, Black, Some-college, Never-married, United-States, Private, Other-service, <=50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
25, Male, Black, HS-grad, Never-married, United-States, Private, Machine-op-inspct, <=50K
46, Male, White, Masters, Never-married, United-States, Private, Tech-support, >50K
43, Male, White, Bachelors, Married-civ-spouse, England, Private, Exec-managerial, >50K
43, Male, White, Assoc-acdm, Divorced, United-States, Private, Craft-repair, <=50K
24, Male, Black, HS-grad, Never-married, United-States, Private, Other-service, <=50K
68, Male, White, 11th, Never-married, United-States, Self-emp-not-inc, Farming-fishing, <=50K
31, Female, White, HS-grad, Divorced, United-States, Private, Adm-clerical, <=50K
17, Female, White, 11th, Never-married, United-States, Private, Sales, <=50K
32, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
33, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
64, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
20, Male, White, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
30, Female, White, HS-grad, Separated, United-States, Private, Other-service, <=50K
43, Male, White, Some-college, Divorced, United-States, Private, Exec-managerial, <=50K
22, Male, White, Some-college, Never-married, United-States, Private, Adm-clerical, <=50K
17, Male, White, 10th, Never-married, United-States, Private, Farming-fishing, <=50K
47, Female, White, HS-grad, Married-civ-spouse, Italy, Self-emp-not-inc, Other-service, <=50K
41, Female, White, Assoc-voc, Never-married, United-States, Private, Prof-specialty, <=50K
56, Male, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, >50K
64, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
47, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, >50K
48, Male, White, Assoc-voc, Never-married, United-States, Private, Adm-clerical, <=50K
31, Female, White, Masters, Never-married, United-States, Private, Prof-specialty, <=50K
29, Male, White, Assoc-voc, Never-married, United-States, Private, Tech-support, <=50K
30, Female, White, HS-grad, Widowed, United-States, Private, Adm-clerical, <=50K
32, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
57, Male, White, HS-grad, Widowed, United-States, Private, Transport-moving, >50K
62, Female, White, HS-grad, Widowed, United-States, Private, Other-service, <=50K
39, Female, White, HS-grad, Separated, United-States, Private, Machine-op-inspct, <=50K
43, Male, White, Some-college, Never-married, United-States, Private, Adm-clerical, <=50K
24, Male, White, Bachelors, Never-married, United-States, Self-emp-inc, Sales, <=50K
53, Female, White, Some-college, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
26, Male, White, Some-college, Never-married, United-States, Private, Handlers-cleaners, <=50K
73, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
55, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
25, Male, White, HS-grad, Divorced, United-States, Private, Adm-clerical, <=50K
41, Female, White, Bachelors, Divorced, United-States, Private, Prof-specialty, >50K
24, Male, White, Bachelors, Never-married, United-States, Private, Exec-managerial, <=50K
63, Male, White, HS-grad, Widowed, United-States, Private, Farming-fishing, <=50K
17, Male, White, 11th, Never-married, United-States, Private, Sales, <=50K
35, Male, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
51, Male, White, Some-college, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
62, Female, White, Bachelors, Widowed, United-States, Local-gov, Prof-specialty, <=50K
55, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
43, Male, White, Some-college, Divorced, United-States, Private, Prof-specialty, <=50K
40, Female, White, HS-grad, Divorced, United-States, Local-gov, Other-service, <=50K
37, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
39, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
31, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
61, Female, White, Masters, Widowed, United-States, Private, Prof-specialty, >50K
26, Female, White, Assoc-voc, Divorced, United-States, Private, Adm-clerical, <=50K
46, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, <=50K
26, Female, White, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
48, Male, White, Doctorate, Divorced, United-States, State-gov, Prof-specialty, >50K
34, Male, White, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
34, Female, White, HS-grad, Never-married, United-States, Local-gov, Adm-clerical, <=50K
59, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Other-service, >50K
34, Female, White, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
49, Female, White, Bachelors, Never-married, United-States, Private, Exec-managerial, >50K
18, Female, White, 11th, Never-married, United-States, Private, Adm-clerical, <=50K
43, Male, White, HS-grad, Married-civ-spouse, Mexico, Private, Farming-fishing, <=50K
48, Male, White, 11th, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
28, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, <=50K
33, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
24, Female, White, Some-college, Never-married, United-States, Private, Sales, <=50K
21, Male, White, 10th, Never-married, United-States, Private, Handlers-cleaners, <=50K
17, Male, White, 11th, Never-married, United-States, Private, Sales, <=50K
39, Male, White, Some-college, Married-civ-spouse, United-States, Private, Farming-fishing, >50K
29, Male, White, Bachelors, Separated, United-States, Self-emp-not-inc, Prof-specialty, <=50K
44, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
24, Male, White, Some-college, Never-married, United-States, Private, Transport-moving, <=50K
71, Male, White, Masters, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, >50K
51, Male, Asian-Pac-Islander, Bachelors, Married-civ-spouse, China, Self-emp-not-inc, Sales, >50K
55, Male, Black, 5th-6th, Divorced, United-States, Private, Other-service, <=50K
41, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
23, Female, Black, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
38, Female, White, Assoc-voc, Divorced, United-States, Private, Adm-clerical, <=50K
39, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, >50K
19, Female, White, HS-grad, Never-married, United-States, Private, Adm-clerical, <=50K
49, Female, White, 9th, Divorced, United-States, Private, Machine-op-inspct, <=50K
32, Male, White, Bachelors, Married-civ-spouse, Philippines, Private, Adm-clerical, >50K
27, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
38, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, >50K
33, Female, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
23, Male, White, Bachelors, Never-married, United-States, Private, Exec-managerial, <=50K
54, Male, Black, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, <=50K
29, Female, White, Assoc-voc, Divorced, United-States, Private, Tech-support, <=50K
35, Male, White, Bachelors, Never-married, United-States, Self-emp-not-inc, Exec-managerial, <=50K
28, Female, Asian-Pac-Islander, Assoc-voc, Married-civ-spouse, India, Private, Adm-clerical, <=50K
37, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
42, Male, White, Prof-school, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, >50K
40, Male, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
47, Male, White, Some-college, Divorced, United-States, Private, Sales, <=50K
22, Female, White, Bachelors, Never-married, United-States, Private, Exec-managerial, <=50K
30, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
28, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Tech-support, <=50K
63, Male, White, 7th-8th, Married-civ-spouse, United-States, Local-gov, Other-service, <=50K
51, Male, White, 9th, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
22, Female, White, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
35, Male, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
46, Female, White, HS-grad, Divorced, United-States, Private, Machine-op-inspct, <=50K
37, Male, White, Some-college, Divorced, United-States, Private, Machine-op-inspct, <=50K
24, Male, Black, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
37, Male, White, HS-grad, Divorced, United-States, Self-emp-not-inc, Handlers-cleaners, <=50K
53, Male, White, Some-college, Married-civ-spouse, United-States, Private, Tech-support, <=50K
27, Male, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
38, Male, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
53, Male, White, 10th, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
34, Male, White, Some-college, Never-married, United-States, Private, Craft-repair, <=50K
23, Male, Black, HS-grad, Never-married, United-States, Private, Sales, <=50K
39, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
43, Female, Asian-Pac-Islander, Masters, Married-civ-spouse, South, Private, Prof-specialty, <=50K
67, Male, Asian-Pac-Islander, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
81, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
21, Male, White, Some-college, Never-married, United-States, Private, Other-service, <=50K
23, Male, White, Some-college, Never-married, United-States, Private, Sales, <=50K
25, Male, White, Some-college, Never-married, United-States, Private, Transport-moving, <=50K
42, Female, White, 5th-6th, Married-civ-spouse, Mexico, Private, Machine-op-inspct, <=50K
38, Female, Black, Some-college, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
32, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
37, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
51, Male, White, Masters, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
22, Female, White, Some-college, Never-married, United-States, Private, Sales, <=50K
33, Female, White, 1st-4th, Married-spouse-absent, Guatemala, Private, Priv-house-serv, <=50K
42, Male, White, HS-grad, Divorced, United-States, Private, Machine-op-inspct, <=50K
51, Male, White, Preschool, Married-civ-spouse, United-States, Local-gov, Other-service, <=50K
23, Female, White, HS-grad, Married-civ-spouse, Mexico, Private, Adm-clerical, <=50K
37, Male, White, 11th, Married-civ-spouse, United-States, Private, Machine-op-inspct, >50K
37, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
47, Female, White, Masters, Never-married, United-States, Private, Prof-specialty, <=50K
41, Male, White, Prof-school, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
33, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
31, Male, White, Bachelors, Never-married, United-States, Private, Sales, >50K
31, Female, Amer-Indian-Eskimo, Assoc-acdm, Divorced, United-States, Private, Other-service, <=50K
35, Male, Black, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
38, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
18, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
20, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
54, Female, Black, Some-college, Divorced, United-States, Local-gov, Exec-managerial, <=50K
40, Female, White, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
36, Female, White, Bachelors, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
43, Male, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
44, Male, White, Some-college, Divorced, United-States, Self-emp-not-inc, Farming-fishing, <=50K
44, Female, White, HS-grad, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
43, Male, White, Masters, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
51, Female, Black, 7th-8th, Widowed, United-States, Private, Other-service, <=50K
18, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
51, Male, White, Some-college, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
44, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Sales, >50K
33, Male, White, 10th, Divorced, United-States, Local-gov, Transport-moving, <=50K
33, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, >50K
42, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
25, Male, White, Some-college, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
32, Female, White, HS-grad, Divorced, United-States, Private, Machine-op-inspct, <=50K
32, Male, White, Bachelors, Married-civ-spouse, Mexico, Private, Craft-repair, <=50K
36, Female, White, 10th, Divorced, United-States, Private, Exec-managerial, <=50K
28, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
20, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
35, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Sales, >50K
55, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
48, Male, Asian-Pac-Islander, Bachelors, Married-civ-spouse, India, Private, Exec-managerial, >50K
34, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
28, Female, White, Bachelors, Never-married, United-States, Private, Tech-support, <=50K
67, Male, White, Bachelors, Widowed, United-States, Private, Exec-managerial, >50K
37, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
44, Male, White, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
25, Female, White, Some-college, Never-married, United-States, Private, Sales, <=50K
21, Female, White, Some-college, Never-married, United-States, Private, Exec-managerial, <=50K
40, Male, White, Masters, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
78, Female, Black, HS-grad, Widowed, United-States, Private, Other-service, <=50K
34, Male, White, HS-grad, Divorced, United-States, Private, Handlers-cleaners, <=50K
49, Female, White, HS-grad, Never-married, United-States, Private, Adm-clerical, <=50K
22, Female, White, Assoc-acdm, Never-married, United-States, Private, Adm-clerical, <=50K
60, Male, White, HS-grad, Never-married, United-States, Self-emp-not-inc, Farming-fishing, <=50K
45, Male, White, HS-grad, Widowed, United-States, Local-gov, Protective-serv, >50K
63, Female, White, Assoc-voc, Divorced, United-States, Private, Other-service, <=50K
41, Female, Black, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
47, Female, White, HS-grad, Divorced, United-States, Private, Adm-clerical, <=50K
44, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
51, Female, White, Some-college, Widowed, United-States, Private, Prof-specialty, <=50K
46, Male, White, Bachelors, Never-married, United-States, Private, Sales, <=50K
41, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
50, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
47, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
35, Male, White, HS-grad, Never-married, United-States, Private, Exec-managerial, <=50K
56, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
45, Male, White, Masters, Divorced, United-States, Private, Prof-specialty, <=50K
48, Male, White, Bachelors, Divorced, United-States, Federal-gov, Exec-managerial, >50K
40, Male, White, Some-college, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
39, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
20, Male, White, Some-college, Never-married, United-States, Private, Other-service, <=50K
50, Male, White, Doctorate, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
38, Female, White, HS-grad, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
23, Female, White, Bachelors, Never-married, United-States, Local-gov, Prof-specialty, <=50K
31, Male, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
58, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
66, Male, Black, HS-grad, Separated, United-States, Private, Machine-op-inspct, <=50K
39, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
54, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, >50K
26, Male, White, Some-college, Married-civ-spouse, Germany, Private, Sales, <=50K
51, Female, White, HS-grad, Divorced, United-States, Private, Machine-op-inspct, <=50K
34, Male, White, Assoc-voc, Never-married, United-States, Private, Transport-moving, <=50K
50, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, >50K
42, Male, White, Some-college, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
38, Male, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
48, Male, White, 7th-8th, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
33, Female, White, Assoc-voc, Married-civ-spouse, United-States, Private, Tech-support, >50K
51, Female, White, HS-grad, Widowed, United-States, Private, Other-service, <=50K
22, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
41, Male, White, Some-college, Never-married, Japan, Private, Craft-repair, <=50K
48, Male, White, Masters, Married-civ-spouse, United-States, Local-gov, Prof-specialty, >50K
42, Female, White, HS-grad, Separated, United-States, Private, Sales, <=50K
34, Male, White, Some-college, Married-civ-spouse, United-States, Private, Other-service, <=50K
23, Female, Black, HS-grad, Never-married, United-States, Private, Machine-op-inspct, <=50K
56, Male, White, HS-grad, Married-civ-spouse, Yugoslavia, Private, Other-service, <=50K
45, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
48, Female, White, 10th, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
48, Male, Asian-Pac-Islander, Masters, Married-spouse-absent, India, Self-emp-inc, Sales, <=50K
31, Female, White, Assoc-voc, Never-married, United-States, Private, Adm-clerical, <=50K
20, Male, White, Assoc-acdm, Never-married, United-States, State-gov, Other-service, <=50K
27, Male, White, Some-college, Never-married, United-States, Private, Sales, <=50K
32, Female, Black, HS-grad, Never-married, United-States, Private, Other-service, <=50K
37, Male, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
34, Female, Black, HS-grad, Divorced, United-States, Private, Priv-house-serv, <=50K
90, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
23, Female, Black, Some-college, Never-married, United-States, Private, Machine-op-inspct, <=50K
43, Female, White, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
44, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
24, Female, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
28, Male, White, Prof-school, Divorced, United-States, Private, Prof-specialty, <=50K
23, Male, White, Some-college, Married-civ-spouse, United-States, Private, Other-service, <=50K
20, Female, White, Some-college, Never-married, United-States, Private, Sales, <=50K
36, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
53, Male, White, Bachelors, Married-civ-spouse, Canada, Self-emp-not-inc, Sales, >50K
30, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
52, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, >50K
38, Male, White, Some-college, Divorced, Iran, Private, Craft-repair, <=50K
32, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, <=50K
30, Male, White, 12th, Married-civ-spouse, United-States, Self-emp-not-inc, Transport-moving, <=50K
41, Female, White, Assoc-voc, Divorced, United-States, Private, Craft-repair, <=50K
49, Male, White, Masters, Married-civ-spouse, United-States, Local-gov, Prof-specialty, >50K
45, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
43, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
54, Male, White, HS-grad, Married-civ-spouse, Mexico, Private, Other-service, <=50K
34, Female, White, Assoc-acdm, Separated, United-States, Private, Other-service, <=50K
49, Male, White, Some-college, Married-civ-spouse, United-States, Private, Sales, >50K
38, Male, White, Some-college, Never-married, United-States, Private, Other-service, <=50K
35, Male, White, Prof-school, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
36, Male, White, 12th, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
30, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
36, Female, White, Assoc-acdm, Divorced, United-States, Private, Tech-support, <=50K
22, Female, White, Bachelors, Never-married, United-States, Local-gov, Prof-specialty, <=50K
38, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
37, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
48, Female, White, Doctorate, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
17, Male, White, 11th, Never-married, United-States, Private, Adm-clerical, <=50K
19, Male, White, Some-college, Never-married, United-States, Self-emp-not-inc, Craft-repair, <=50K
27, Female, Black, Bachelors, Never-married, United-States, Private, Sales, <=50K
22, Male, Asian-Pac-Islander, Bachelors, Never-married, Taiwan, Private, Sales, <=50K
49, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
43, Female, White, Assoc-voc, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
43, Female, White, Bachelors, Separated, United-States, Private, Prof-specialty, <=50K
19, Female, White, HS-grad, Divorced, United-States, Local-gov, Exec-managerial, <=50K
58, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
41, Male, White, Some-college, Married-civ-spouse, United-States, Local-gov, Protective-serv, >50K
31, Male, White, Some-college, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
30, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
32, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Protective-serv, <=50K
29, Male, White, Bachelors, Never-married, United-States, Private, Exec-managerial, <=50K
42, Male, White, Some-college, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
38, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
41, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Federal-gov, Prof-specialty, >50K
44, Male, White, Bachelors, Never-married, United-States, Self-emp-not-inc, Sales, >50K
31, Male, Asian-Pac-Islander, Doctorate, Married-spouse-absent, China, Private, Prof-specialty, <=50K
34, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
21, Male, White, Some-college, Never-married, United-States, Private, Adm-clerical, <=50K
22, Male, Asian-Pac-Islander, Bachelors, Never-married, India, Self-emp-not-inc, Prof-specialty, <=50K
62, Male, White, 10th, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
29, Female, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Sales, >50K
43, Female, White, Some-college, Divorced, United-States, Private, Prof-specialty, <=50K
45, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-inc, Machine-op-inspct, >50K
39, Male, White, 9th, Married-civ-spouse, Mexico, Self-emp-inc, Exec-managerial, <=50K
41, Male, Black, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
34, Female, White, Assoc-acdm, Married-civ-spouse, United-States, Self-emp-not-inc, Prof-specialty, >50K
34, Female, White, HS-grad, Divorced, United-States, Local-gov, Adm-clerical, <=50K
31, Male, White, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
29, Male, White, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
41, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Craft-repair, >50K
41, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
35, Male, White, Masters, Married-civ-spouse, Mexico, Self-emp-inc, Sales, >50K
33, Female, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, >50K
37, Male, White, Bachelors, Never-married, United-States, State-gov, Adm-clerical, <=50K
69, Female, White, HS-grad, Married-civ-spouse, United-States, Private, Sales, <=50K
34, Female, White, HS-grad, Divorced, United-States, Private, Handlers-cleaners, <=50K
36, Male, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
41, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
58, Female, White, Bachelors, Married-civ-spouse, United-States, Local-gov, Prof-specialty, >50K
53, Male, Asian-Pac-Islander, Bachelors, Married-civ-spouse, Japan, Private, Prof-specialty, <=50K
29, Male, White, Some-college, Married-civ-spouse, United-States, Private, Tech-support, <=50K
45, Female, White, HS-grad, Divorced, United-States, Federal-gov, Tech-support, <=50K
34, Male, White, Some-college, Married-civ-spouse, United-States, State-gov, Exec-managerial, <=50K
36, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Tech-support, <=50K
48, Female, Black, Some-college, Divorced, United-States, Private, Other-service, <=50K
20, Female, White, Assoc-voc, Never-married, United-States, Private, Adm-clerical, <=50K
35, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, >50K
63, Male, Black, HS-grad, Widowed, United-States, Federal-gov, Handlers-cleaners, <=50K
41, Male, White, Some-college, Divorced, United-States, Self-emp-not-inc, Other-service, <=50K
28, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
30, Female, Black, Some-college, Never-married, United-States, Private, Machine-op-inspct, <=50K
31, Female, White, HS-grad, Never-married, Mexico, Private, Other-service, <=50K
37, Female, White, Assoc-voc, Never-married, United-States, Private, Adm-clerical, <=50K
31, Male, White, Some-college, Married-civ-spouse, Jamaica, Private, Exec-managerial, >50K
46, Male, White, Masters, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, >50K
35, Male, Black, HS-grad, Married-civ-spouse, United-States, Federal-gov, Adm-clerical, >50K
27, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
41, Male, White, 1st-4th, Married-civ-spouse, Mexico, Private, Craft-repair, <=50K
